kind,case,round,variant,mean_ns,median_ns,mean_ci95_low_ns,mean_ci95_high_ns
decode,large_utf8_event,1,core,988442.3103691244,899932.566066066,929612.7837933134,1060997.173951253
decode,large_utf8_event,2,current,194421.76096602657,188351.99326765188,188690.89377098728,200956.29487179324
decode,large_utf8_event,2,published,1681696.4747508236,1624917.4455128205,1637872.4489630267,1745404.9477444424
decode,large_utf8_event,2,core,1048064.1299738539,893330.6333333333,960717.4546653271,1148594.9082378738
decode,large_utf8_event,3,current,178213.08272929428,175525.24908088235,176268.7836197209,180589.3935802588
decode,large_utf8_event,3,published,1672822.615181496,1646471.5789473685,1647015.5896284552,1708037.7321181127
decode,large_utf8_event,3,core,999073.2701710875,893454.4903846154,932305.1329160457,1079059.6454193052
decode,large_json_utf8_tcp,1,current,244554.671700373,232073.53754578752,234583.54755552197,256781.0274446561
decode,large_json_utf8_tcp,1,published,1994583.9581746073,1923223.9141414142,1927453.0332584633,2081456.8752334919
decode,large_json_utf8_tcp,1,core,1086130.8986335201,1034231.1974025974,1042629.7448131264,1141312.112240812
decode,large_json_utf8_tcp,2,current,218972.36139493837,216553.9328703704,216665.98057535922,222100.55861619225
decode,large_json_utf8_tcp,2,published,1935865.2687711585,1884898.0008169934,1902595.4410726323,1975320.724394761
decode,large_json_utf8_tcp,2,core,1029674.950949835,1016123.6189458689,1017291.1125399728,1047834.4294770381
decode,large_json_utf8_tcp,3,current,273677.4486807231,249916.98536231887,254418.7698312493,293531.44616584346
decode,large_json_utf8_tcp,3,published,2125092.5805555554,2058390.0555555555,2042088.3712500005,2217354.6025000005
decode,large_json_utf8_tcp,3,core,1083571.4954417334,1031602.796875,1052152.8204716195,1119734.0293165029
decode,large_json_escaped_tcp,1,current,136725.9053827119,131544.89226190478,132077.2315515333,142657.72169267267
decode,large_json_escaped_tcp,1,published,1084638.95749905,1018354.3214285714,1042240.7312936453,1135092.138622893
decode,large_json_escaped_tcp,1,core,148882.29556952076,135923.94417144416,140635.02202479512,158759.08363043246
decode,large_json_escaped_tcp,2,current,126067.97380806688,121429.66590909091,122360.65548654231,130805.07536732
decode,large_json_escaped_tcp,2,published,1009127.8079025459,997115.3857142858,1000119.4915576766,1019201.0640558576
decode,large_json_escaped_tcp,2,core,128630.08662243262,124277.95512820513,125041.08322202855,133277.110181954
decode,large_json_escaped_tcp,3,current,132231.86673963387,128529.94453441296,128699.43948519285,136810.43436858273
decode,large_json_escaped_tcp,3,published,1055892.3987854973,1004551.4093406594,1024607.68045672,1091674.4497916296
decode,large_json_escaped_tcp,3,core,143591.5858437211,134210.77427083335,137600.71237958557,150402.6169601528
decode,large_json_base64_tcp,1,current,135898.85848633602,131710.03958333333,131067.05159862776,142103.33895804864
decode,large_json_base64_tcp,1,published,1037453.6434231516,994095.3972039474,1004484.27835619,1076588.9313784917
decode,large_json_base64_tcp,1,core,139670.2417934307,133577.99990909093,134639.9613956538,146098.8578720312
decode,large_json_base64_tcp,2,current,127119.69450566352,122889.5345410628,123578.22224351451,131913.16847126963
decode,large_json_base64_tcp,2,published,989841.5491953033,982890.85,982958.7778431148,998329.6531431414
decode,large_json_base64_tcp,2,core,132132.8346485453,124662.66081871346,128160.44266359195,136896.64121776007
decode,large_json_base64_tcp,3,current,127264.73598402001,124998.67628205128,124632.54081526044,130909.86981497704
decode,large_json_base64_tcp,3,published,1001559.6975833498,987079.6631944445,989753.2909504081,1015567.5134662385
decode,large_json_base64_tcp,3,core,134959.65066908827,129961.21669871795,131098.8510541515,139635.69158113582
