kind,case,round,variant,mean_ns,median_ns,mean_ci95_low_ns,mean_ci95_high_ns
decode,mixed_multiline_tcp,2,current,433747.0802004795,428125.8392857143,425028.1685805037,448643.1234702531
decode,mixed_multiline_tcp,2,baseline,478930.4424348834,467537.927631579,469859.14648321725,489132.6398910451
decode,mixed_multiline_tcp,2,core,714612.9599343027,717902.6011904762,709768.8052837775,719303.3347463551
decode,mixed_multiline_tcp,3,current,534566.0150128215,512543.8579365079,514141.6635012306,557503.6236200805
decode,mixed_multiline_tcp,3,baseline,549426.9410908499,477442.69682539685,516574.8160941066,583198.6760197271
decode,mixed_multiline_tcp,3,core,754507.5991548056,740957.5666666667,738677.7531195126,771192.8621340919
decode,mixed_multiline_whole,1,current,408422.1466509878,394403.1826923077,400983.7265687421,416575.29592764104
decode,mixed_multiline_whole,1,baseline,443640.62305582047,428766.8375,434660.16557172796,453802.7227452138
decode,mixed_multiline_whole,1,core,732150.4746891062,634036.3293859649,679932.2725015719,791520.2393280384
decode,mixed_multiline_whole,2,current,415989.2612283801,415535.7,412133.2344012542,419940.14339518076
decode,mixed_multiline_whole,2,baseline,480967.4824425716,460014.4166666666,463968.4476976167,501486.422467182
decode,mixed_multiline_whole,2,core,802127.8327591333,683513.65,749734.6778315556,860550.7253098866
decode,mixed_multiline_whole,3,current,494379.3091530746,452293.33687258686,469200.47138110216,521428.68182925455
decode,mixed_multiline_whole,3,baseline,553688.6623392471,484552.68931159424,521280.4756522246,588729.9589510966
decode,mixed_multiline_whole,3,core,712637.8300000302,686031.597902098,692879.071298272,734245.3053236214
decode,alternating_sizes_tcp,1,current,118835.81973280548,115829.01532738096,115563.44874011994,124042.91572567602
decode,alternating_sizes_tcp,1,baseline,122938.69640859317,118624.97180650037,118623.68198117668,129101.5827072589
decode,alternating_sizes_tcp,1,core,127978.23275971161,127661.01825396824,127408.49317102876,128583.48390170044
decode,alternating_sizes_tcp,2,current,135159.46218039544,127482.20170454546,129474.89670153717,141824.00074278002
decode,alternating_sizes_tcp,2,baseline,137494.67981392005,129257.67857142858,131220.72973338846,145065.0834110352
decode,alternating_sizes_tcp,2,core,148183.7549062802,140694.0047008547,142649.20786386114,154723.96611710347
decode,alternating_sizes_tcp,3,current,129446.21100250159,125120.0274122807,126649.9700603518,132594.86952913133
decode,alternating_sizes_tcp,3,baseline,128278.51233770783,126963.08582621082,126676.96545182604,130029.86914409955
decode,alternating_sizes_tcp,3,core,143750.4427110416,139811.7158119658,140398.81296008942,148185.89204411447
decode,varied_sizes_tcp,1,current,34951.205471250316,30103.129349046016,32730.30652271767,37397.66934092962
decode,varied_sizes_tcp,1,baseline,29629.29564550672,29469.202430555557,29466.568023691572,29847.435182990648
decode,varied_sizes_tcp,1,core,37680.38930932767,30792.2055984556,34663.55277357212,41064.08171901943
decode,varied_sizes_tcp,2,current,33254.739251549356,31216.6987012987,31796.471750468267,35022.97722860426
decode,varied_sizes_tcp,2,baseline,33674.57295607123,31282.96214896215,32042.22984721094,35695.1304529915
decode,varied_sizes_tcp,2,core,34155.834114799785,31909.43392857143,32629.517334725166,36028.395914670575
decode,varied_sizes_tcp,3,current,36966.80045556047,32145.684210526313,34728.2241855976,39369.73777235205
decode,varied_sizes_tcp,3,baseline,38535.030981274474,32702.425556680162,36006.15964238569,41155.3947183101
decode,varied_sizes_tcp,3,core,37611.166506547124,33625.123240915775,35533.365319639066,39964.45445252244
decode,comment_crlf_tcp,1,current,371570.4956806246,362456.71014492755,363867.54933838156,382615.79243309447
decode,comment_crlf_tcp,1,baseline,478660.50181273895,422366.97728516697,452654.36211597663,508476.7520577269
decode,comment_crlf_tcp,1,core,1075904.4318310225,1028543.2340067341,1034495.9007767827,1130246.9273510885
decode,comment_crlf_tcp,2,current,397375.070643782,376356.74242424243,381757.70284131647,415930.45007909235
decode,comment_crlf_tcp,2,baseline,446305.42100438336,438366.85,436394.5423244069,461019.52460049925
decode,comment_crlf_tcp,2,core,1215656.6041894627,1117658.3444444444,1158536.8125514379,1280063.6700755458
decode,comment_crlf_tcp,3,current,391291.51346485125,386427.6472222222,385475.4123831115,397951.02365342196
decode,comment_crlf_tcp,3,baseline,455236.17705351795,444497.9080357143,446565.55804187554,465858.7002960931
decode,comment_crlf_tcp,3,core,1240992.790612524,1107039.4423076923,1170325.1016979972,1322550.0301183586
encode,small_json,1,current,14.12445394358168,13.726222432238604,13.673794916221016,14.73925556813012
encode,small_json,1,baseline,14.515665058897039,14.018689767919263,13.997520041882947,15.133858367474437
encode,small_json,2,current,14.12795742466125,14.124974649453446,13.9933504625097,14.270422174963773
encode,small_json,2,baseline,14.862376941844953,14.651706259082227,14.607384300485018,15.139306863705722
