run,scenario,implementation,mean_ns,mean_ci95_low,mean_ci95_high,median_ns
3,keepalive_4b_chunks,sse_stream,9277049.9875,9126652.201875,9441997.769375,9167712.25
3,keepalive_line_chunks,sse_core,3000081.5708333333,2994080.8090625,3006436.5315625006,2991067.333333333
3,keepalive_line_chunks,sse_baseline,3414118.6571428576,3261709.51732143,3602258.8008035715,3200124.5714285714
3,keepalive_line_chunks,sse_stream,3159965.3142857137,3058533.4593750006,3287345.8048214284,3006656.214285714
3,keepalive_tcp_chunks,sse_core,1126253.1783601926,1088269.4149336005,1178428.5343228853,1082967.4720394737
3,keepalive_tcp_chunks,sse_baseline,1045539.3075504035,1026090.133015693,1067704.2070073073,1013424.9539682539
3,keepalive_tcp_chunks,sse_stream,1086230.6921594744,1003228.1475488094,1179510.9886255325,932006.1
3,keepalive_whole_stream_chunk,sse_core,1131351.961954608,1084074.897992124,1189645.5906133926,1077172.125
3,keepalive_whole_stream_chunk,sse_baseline,999621.1296971878,967663.6990560243,1039916.6234526623,954380.8854166667
3,keepalive_whole_stream_chunk,sse_stream,1055217.0094123601,1010793.8648235438,1109809.3170645353,1011838.690092166
3,large_data_event_chunks,sse_core,93086.07950944113,92162.69493172405,94166.8340274646,92551.58145363408
3,large_data_event_chunks,sse_baseline,97575.78380470019,92773.5228637891,103043.62115616362,87509.87700895595
3,large_data_event_chunks,sse_stream,78074.7227904135,74671.68327350792,82162.47922935084,73266.96875
3,large_data_tcp_chunks,sse_core,130338.18486069841,126005.43538054274,135640.46508806,123693.37155448718
3,large_data_tcp_chunks,sse_baseline,133078.39677079744,132738.06627512732,133462.8446234661,132854.22222222222
3,large_data_tcp_chunks,sse_stream,109347.77522863017,106694.12478865775,112316.06053687814,104643.82991718425
3,large_utf8_tcp,sse_core,1094687.8157793789,1043289.2440165792,1156904.235253978,1016080.8333333333
3,large_utf8_tcp,sse_baseline,1052435.29492769,1031556.8734528973,1078057.118618023,1025160.7621052631
3,large_utf8_tcp,sse_stream,215001.32782800673,208176.59883494084,223473.96021914785,204285.32
3,medium_data_10b_chunks,sse_core,1668368.7795454545,1666993.4586931816,1669902.6599431813,1667450.4545454546
3,medium_data_10b_chunks,sse_baseline,1824769.5754728555,1783065.1649542134,1882554.2968111734,1787697.9658119658
3,medium_data_10b_chunks,sse_stream,1647378.8829665564,1614419.5312081652,1691748.1805897846,1612888.7935855263
3,metadata_events_tcp_chunks,sse_core,4844796.405,4623450.730749999,5122200.238125002,4528559.4
3,metadata_events_tcp_chunks,sse_baseline,4870152.265000001,4621499.057375,5162380.499249999,4437341.9
3,metadata_events_tcp_chunks,sse_stream,4144115.13,4123141.7807499995,4170707.342875001,4134252.7
3,mixed_multiline_tcp,sse_core,635123.2633475272,614338.3294100518,662861.174761439,618867.4857142858
3,mixed_multiline_tcp,sse_baseline,666695.671756503,650001.5140686648,687631.474084018,663555.1381118881
3,mixed_multiline_tcp,sse_stream,505805.8817209258,491461.9216563455,520922.29625164653,512508.51470588235
3,mixed_tcp,sse_core,563503.2590573423,537583.6760331067,592474.6000216721,504521.77696728555
3,mixed_tcp,sse_baseline,643289.6862960313,624837.7623942464,665249.6557419385,632946.5339285715
3,mixed_tcp,sse_stream,371417.5607255477,346812.54390861787,397839.28525237885,361514.1392931393
3,mixed_whole,sse_core,558091.87638226,527955.732200992,593482.6723447257,519922.6592261905
3,mixed_whole,sse_baseline,612935.7577261017,602236.940384563,625017.7779127685,616359.5833333333
3,mixed_whole,sse_stream,368594.8442285494,340891.2954234999,398203.0861148658,346416.97118993994
3,multiline_data_tcp_chunks,sse_core,2819099.1535714287,2705302.725089286,2978568.055982142,2701134.6428571427
3,multiline_data_tcp_chunks,sse_baseline,2927699.5416666674,2894814.6543749995,2961070.8905208334,2962292.666666667
3,multiline_data_tcp_chunks,sse_stream,3090193.7642857144,2947614.5625,3263415.1058035716,2936357.8571428573
3,small_data_4b_chunks,sse_core,9631421.633333331,9222906.855416669,10126156.90375,9003701.666666666
3,small_data_4b_chunks,sse_baseline,11058817.89166667,10638566.183958333,11552700.805000002,10507906.0
3,small_data_4b_chunks,sse_stream,10858742.0875,10444233.599062499,11336392.4415625,10447016.0
3,small_data_event_chunks,sse_core,4786783.3900000015,4629786.087374998,4981875.578124999,4735927.7
3,small_data_event_chunks,sse_baseline,5104647.299999999,4865872.970499999,5391379.174624998,5046325.9
3,small_data_event_chunks,sse_stream,4491456.875000002,4367744.850625,4617405.387291668,4577960.416666666
3,small_data_tcp_chunks,sse_core,3581669.775,3411193.1453124993,3787944.5273958337,3544023.083333333
3,small_data_tcp_chunks,sse_baseline,4515776.725000001,4370298.9478125,4689815.627708333,4418991.333333334
3,small_data_tcp_chunks,sse_stream,3532120.271428571,3396469.216071428,3678524.694196428,3561913.0
3,small_data_whole_stream_chunk,sse_core,3698519.0583333327,3531964.6737499996,3894377.1853125,3564136.083333333
3,small_data_whole_stream_chunk,sse_baseline,4372142.675000002,4206691.248333334,4572854.747187501,4292555.166666667
3,small_data_whole_stream_chunk,sse_stream,3540413.634375,3395503.709453125,3689521.806796875,3565405.0625
