run,scenario,variant,mean_ns,mean_ci_low,mean_ci_high,median_ns,ratio_to_baseline,ratio_to_step1,ratio_to_core
full,mixed_json_tcp,core,655989.0071635388,637885.3092749674,683115.9559586511,631114.7110389611,0.7219227664128536,0.80918530198751,1.0
full,mixed_json_tcp,step1,810678.3521058866,790065.6558855509,837277.0413081242,800980.7526455027,0.8921600091347144,1.0,1.2358108798365632
full,mixed_json_tcp,step2,616831.3403494393,577808.0311438469,660913.4246503941,554727.5966666667,0.6788293443524134,0.7608829553017002,0.9403074344440386
full,mixed_json_whole,baseline,724859.6794799541,703948.9680566144,752630.0645341648,717859.1,1.0,0.9554405939074211,1.220782582415932
full,mixed_json_whole,core,593766.4002753503,571088.3407884386,623081.5924575352,564618.4128571429,0.8191466805014512,0.782645990915599,1.0
full,mixed_json_whole,step1,758665.3572207238,722703.1150025678,801818.8208371947,720838.7613636364,1.0466375475112968,1.0,1.2777168881043184
full,mixed_json_whole,step2,495567.0128625161,479041.1176124526,517484.9716440582,476686.5795454546,0.6836730292655504,0.6532089651199631,0.8346161261949215
full,mixed_multiline_tcp,baseline,706902.041186879,681465.1445340976,740848.7537948956,678899.9356060605,1.0,0.8903228093812071,1.0324388912504217
full,mixed_multiline_tcp,core,684691.4109664409,663808.19549152,714770.3812080504,658098.3149350649,0.9685803280704257,0.8623491587990327,1.0
full,mixed_multiline_tcp,step1,793983.9727100675,743243.7526422916,849872.8736444128,690042.2115384615,1.123188117234715,1.0,1.1596230944234576
full,mixed_multiline_tcp,step2,450648.806393355,435322.09453356045,471543.3178653849,434228.81944444444,0.6374982389875713,0.5675792231109867,0.6581779750344244
full,mixed_multiline_whole,baseline,670265.6517896692,641920.5288453314,707738.1284198076,633200.6477272727,1.0,0.951468549206304,1.047144781615688
full,mixed_multiline_whole,core,640088.8048694521,617969.5454139917,670108.8151946384,609582.4343434344,0.9549777810639077,0.9086313238731317,1.0
full,mixed_multiline_whole,step1,704453.8175736774,671494.7773262106,743016.8458363494,642090.44348659,1.0510068891233242,1.0,1.1005563793876267
full,mixed_multiline_whole,step2,429811.9779313325,420892.95227852406,441495.2694573816,420532.325,0.641256159828116,0.6101350680612634,0.6714880414429273
full,multiline_data_tcp_chunks,baseline,2750248.339285714,2692764.595267857,2820702.659910715,2667101.5714285714,1.0,0.9933580019471543,0.9692384826074357
full,multiline_data_tcp_chunks,core,2837535.228571428,2741086.314642857,2955759.745714286,2682534.7142857146,1.0317378209228858,1.0248850203252686,1.0
full,multiline_data_tcp_chunks,step1,2768637.6249999995,2710628.3338392857,2836198.1148214284,2665769.2857142854,1.0066864091695302,1.0,0.9757192076850036
full,multiline_data_tcp_chunks,step2,2849565.792857143,2790606.6484821434,2918464.322232142,2769200.4285714286,1.0361121765452002,1.0292303214860572,1.0042397938057572
full,small_data_4b_chunks,baseline,11532773.075,11449657.2275,11639172.76375,11460234.25,1.0,0.9951799461487724,1.0663984558130017
full,small_data_4b_chunks,core,10814694.0875,10660194.644375,10997144.4303125,10572808.25,0.9377357914848248,0.9332158544716442,1.0
full,small_data_4b_chunks,step1,11588630.9,11455857.695,11739117.5721875,11441985.25,1.0048433992966606,1.0,1.0715634493438462
full,small_data_4b_chunks,step2,11703051.0875,11568747.305937499,11864810.46,11594164.5,1.01476470675289,1.0098734862200158,1.0821435162948154
full,small_data_event_chunks,baseline,4812150.95,4736969.3884375,4896934.46796875,4733552.875,1.0,0.9719501035112316,1.0779711802580727
full,small_data_event_chunks,core,4464081.265,4380377.947249999,4561986.68475,4353475.7,0.9276685855002116,0.9016475777010485,1.0
full,small_data_event_chunks,step1,4951026.7375,4883085.3421875,5029557.0203125,4866932.875,1.028859399662016,1.0,1.1090807813732755
full,small_data_event_chunks,step2,4923455.98125,4848718.20046875,5011171.911875,4814248.5,1.0231299957974094,0.9944313053207381,1.1029046491271706
full,small_data_tcp_chunks,baseline,3864642.0549999997,3803694.2556249998,3936006.0081250006,3776061.1,1.0,0.9878325043850084,1.227109442374644
full,small_data_tcp_chunks,core,3149386.616666666,3079585.3471874995,3233023.369166667,3036310.75,0.8149232378693521,0.8050076629460219,1.0
full,small_data_tcp_chunks,step1,3912244.270000001,3844045.078375001,3994001.639875001,3813648.1,1.0123173671254793,1.0,1.2422241998795145
full,small_data_tcp_chunks,step2,3934696.6499999994,3857972.9510000013,4025183.523624999,3829643.0,1.0181270591177687,1.005739002590449,1.2493533277805413
full,small_data_whole_stream_chunk,baseline,3838281.474999999,3777258.9589999993,3911355.5987499994,3749598.2,1.0,0.9900375491537389,1.2286801215102097
full,small_data_whole_stream_chunk,core,3123906.2208333327,3059815.9988541664,3200740.534791666,3024170.0833333335,0.8138814834660695,0.8057732291923567,1.0
full,small_data_whole_stream_chunk,step1,3876904.9500000007,3816261.5101250005,3947976.8541250005,3799152.5,1.0100627000003957,1.0,1.2410439609694166
full,small_data_whole_stream_chunk,step2,3903360.5700000017,3831217.4626249983,3987794.6540000006,3808355.8,1.0169552690244017,1.0068239021438998,1.2495127235153498
full,varied_sizes_tcp,baseline,41434.942811861816,39632.44411103615,43539.74651214519,37867.23260869565,1.0,1.1294136619282378,1.1437344529865743
full,varied_sizes_tcp,core,36227.764848444414,33942.33376874451,38925.97913988106,31843.112213438733,0.8743288246574649,0.9874789195857996,1.0
full,varied_sizes_tcp,step1,36687.12731978141,35085.02814096792,38493.206352040266,33103.54852071006,0.8854151793176549,1.0,1.0126798457828876
full,varied_sizes_tcp,step2,39192.13177431264,37097.54508571069,41488.452110230064,34755.26218377976,0.9458715063821178,1.0682802017366062,1.0818258299475385
focus2,json_crlf_tcp,baseline,2050221.0272727276,1971702.2687272725,2149605.713136363,1937884.2727272727,1.0,0.9910073339158391,0.9330735987784115
focus2,json_crlf_tcp,core,2197276.86,2118219.81545,2297840.957849999,2087256.7999999998,1.0717268190946665,1.0620891376771082,1.0
focus2,json_crlf_tcp,step1,2068825.282222222,1995316.813166667,2159890.783722223,1961477.9444444445,1.0090742679457554,1.0,0.9415405586268369
focus2,json_crlf_tcp,step2,2151680.216,2068479.9532500003,2251587.7039500005,2012572.0,1.0494869515908911,1.0400492658755502,0.9792485667918972
focus2,json_metadata_after_tcp,baseline,1474650.3032646521,1443540.29727126,1513672.6298330822,1430420.289473684,1.0,0.9845775996374738,0.9511338858162358
focus2,json_metadata_after_tcp,core,1550412.96,1502358.361208333,1609124.6597499994,1480581.0,1.0513766935575308,1.0351619412576576,1.0
focus2,json_metadata_after_tcp,step1,1497749.1909298215,1459323.9545519012,1542197.5650225785,1437358.0444078948,1.0156639764790554,1.0,0.9660324246320938
