mode,scenario,variant,reference,rounds,ratio_median,ratio_p10,ratio_p90
bytes_tokio,mixed_json_tcp,baseline,core,31,1.2179481262691527,1.1817843704015947,1.2405342681465146
bytes_tokio,mixed_json_tcp,core,baseline,31,0.8210530304465622,0.8061042936718729,0.8461780550204598
bytes_tokio,mixed_json_tcp,core,step1,31,0.83694920645584,0.819452795335493,0.8575902372657748
bytes_tokio,mixed_json_tcp,step1,baseline,31,0.9769469265917866,0.9579172540283124,1.0190454208121151
bytes_tokio,mixed_json_tcp,step1,core,31,1.1948156378982875,1.1660580502738294,1.2203265468032103
bytes_tokio,mixed_json_whole,baseline,step1,31,1.0016470337359327,0.966432738981016,1.0292924543642963
bytes_tokio,mixed_json_whole,baseline,core,31,1.13369046516943,1.1116639618947823,1.1637015461225642
bytes_tokio,mixed_json_whole,core,baseline,31,0.8820749849479859,0.8593268637753253,0.8995524135688846
bytes_tokio,mixed_json_whole,core,step1,31,0.8846453203993894,0.8521834277095027,0.8989204622198281
bytes_tokio,mixed_json_whole,step1,baseline,31,0.9983556745235999,0.9715411744834099,1.034733157999569
bytes_tokio,mixed_json_whole,step1,core,31,1.1303965294797824,1.1124454743532728,1.1734562859169866
bytes_tokio,mixed_multiline_tcp,baseline,step1,31,1.009117226049601,0.9108834656085445,1.0671710192925956
bytes_tokio,mixed_multiline_tcp,baseline,core,31,0.9160432998080511,0.8744949896111148,0.9510196692836347
bytes_tokio,mixed_multiline_tcp,core,baseline,31,1.0916514538226973,1.051502962870642,1.1435171291772601
bytes_tokio,mixed_multiline_tcp,core,step1,31,1.1001418917107026,1.0102451801248562,1.147846481863188
bytes_tokio,mixed_multiline_tcp,step1,baseline,31,0.9909651467498058,0.9370569308215269,1.0978352750446714
bytes_tokio,mixed_multiline_tcp,step1,core,31,0.9089736583387589,0.8711966415376357,0.989858719124411
bytes_tokio,mixed_multiline_whole,baseline,step1,31,1.0284498192151337,0.9979429162812292,1.0523861624273083
bytes_tokio,mixed_multiline_whole,baseline,core,31,0.9360104108817805,0.9189449438477095,0.9605916100228139
bytes_tokio,mixed_multiline_whole,core,baseline,31,1.0683641852422745,1.0410251240652104,1.0882044748109776
bytes_tokio,mixed_multiline_whole,core,step1,31,1.0913279464118246,1.0769543718084844,1.1252804693906486
bytes_tokio,mixed_multiline_whole,step1,baseline,31,0.9723371829295032,0.9502215400604654,1.0020613240348821
bytes_tokio,mixed_multiline_whole,step1,core,31,0.9163148467771748,0.8886673386782502,0.9285444455002692
bytes_tokio,multiline_data_tcp_chunks,baseline,step1,31,0.9812002307454244,0.9650972550445374,1.0178036757073492
bytes_tokio,multiline_data_tcp_chunks,baseline,core,31,0.9349653468192304,0.9232876864058707,0.9610045653071263
bytes_tokio,multiline_data_tcp_chunks,core,baseline,31,1.0695583567904614,1.0405777829790135,1.0830860356133973
bytes_tokio,multiline_data_tcp_chunks,core,step1,31,1.0483872839358754,1.0225873853377014,1.0915856283320753
bytes_tokio,multiline_data_tcp_chunks,step1,baseline,31,1.0191599723129838,0.9825077506278644,1.0361650028253908
bytes_tokio,multiline_data_tcp_chunks,step1,core,31,0.9538459835622777,0.9160985396335636,0.9779115353254215
